Method,Group,R2_Score,MAE,RMSE,Success_Rate,Valid_Predictions
Linear Regression,Linear Models,0.9988872779241684,23.0,28.600699292150182,0.1111111111111111,2
Ridge Regression,Linear Models,0.9874756713207574,15.666666666666666,17.86057109949175,0.3333333333333333,3
Lasso Regression,Linear Models,0.9968452549391333,49.857142857142854,58.73305226677248,0.2222222222222222,7
Trend Analysis,Statistical,0.9696520458440697,36.111111111111114,42.963809059357025,0.5555555555555556,9
